statusCode,body__Items__gameStatus,body__Items__awayhome,body__Items__location,body__Items__season,body__Items__gameUID,body__Items__odds__total,body__Items__odds__history__date,body__Items__odds__history__total,body__Items__odds__history__prices__spreadHomePrice,body__Items__odds__history__prices__totalOverPrice,body__Items__odds__history__prices__spreadAwayPrice,body__Items__odds__history__prices__totalUnderPrice,body__Items__odds__history__spread,body__Items__odds__prices__spreadHomePrice,body__Items__odds__prices__totalOverPrice,body__Items__odds__prices__spreadAwayPrice,body__Items__odds__prices__totalUnderPrice,body__Items__odds__spread,body__Items__sport,body__Items__startDateTime,body__Items__homeTeam__shortName,body__Items__homeTeam__fullName,body__Items__homeTeam__code,body__Items__gameWeek,body__Items__year,body__Items__results__homeTeam__score,body__Items__results__total,body__Items__results__awayTeam__score,body__Items__results__spread,body__Items__stadium,body__Items__gameId,body__Items__awayTeam__shortName,body__Items__awayTeam__fullName,body__Items__awayTeam__code,body__Count,body__ScannedCount
,Unplayed,CLEDAL,"Arlington, Texas",Regular,3417690,56,Mon Sep 28 2020 18:29:52 GMT+0000 (Coordinated Universal Time),56,-105,-106,-105,-105,-4.5,-105,100,-105,-111,-4.5,nfl,Sun Oct 04 2020 21:00:00 GMT+0000 (Coordinated Universal Time),Cowboys,Dallas Cowboys,DAL,4,2020,,,,,AT&T Stadium,2020regCLEDAL,Browns,Cleveland Browns,CLE,,
,,,,,,,Mon Sep 28 2020 18:33:39 GMT+0000 (Coordinated Universal Time),56,-105,-106,-105,-105,-4.5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Mon Sep 28 2020 22:33:25 GMT+0000 (Coordinated Universal Time),55,-105,-105,-105,-106,-4.5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Tue Sep 29 2020 09:00:30 GMT+0000 (Coordinated Universal Time),55,-106,-105,-104,-106,-4.5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Wed Sep 30 2020 09:00:26 GMT+0000 (Coordinated Universal Time),55,-105,-104,-105,-107,-4.5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Thu Oct 01 2020 09:00:26 GMT+0000 (Coordinated Universal Time),56,-106,-108,-104,-103,-4.5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Thu Oct 01 2020 22:08:24 GMT+0000 (Coordinated Universal Time),56,-103,100,-107,-111,-4.5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Fri Oct 02 2020 09:00:26 GMT+0000 (Coordinated Universal Time),56,-104,100,-106,-111,-4.5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sat Oct 03 2020 09:00:24 GMT+0000 (Coordinated Universal Time),56,-105,100,-105,-111,-4.5,,,,,,,,,,,,,,,,,,,,,,,
,Unplayed,SEAMIA,"Miami Gardens, Florida",Regular,3875847,54,Mon Sep 28 2020 18:29:52 GMT+0000 (Coordinated Universal Time),54,-101,-108,-109,-103,6.5,-118,-111,107,100,6,nfl,Sun Oct 04 2020 21:00:00 GMT+0000 (Coordinated Universal Time),Dolphins,Miami Dolphins,MIA,4,2020,,,,,Hard Rock Stadium,2020regSEAMIA,Seahawks,Seattle Seahawks,SEA,,
,,,,,,,Mon Sep 28 2020 18:33:39 GMT+0000 (Coordinated Universal Time),54,-101,-108,-109,-103,6.5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Mon Sep 28 2020 22:33:25 GMT+0000 (Coordinated Universal Time),54,-107,-114,-103,103,6.5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Tue Sep 29 2020 09:00:30 GMT+0000 (Coordinated Universal Time),54,-106,-115,-104,103,6.5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Wed Sep 30 2020 09:00:26 GMT+0000 (Coordinated Universal Time),54,-102,-115,-108,103,6.5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Thu Oct 01 2020 09:00:26 GMT+0000 (Coordinated Universal Time),52,-109,-109,-101,-102,6.5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Thu Oct 01 2020 22:08:24 GMT+0000 (Coordinated Universal Time),54,-111,-105,101,-106,6.5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Fri Oct 02 2020 09:00:27 GMT+0000 (Coordinated Universal Time),54,100,-106,-110,-105,6,,,,,,,,,,,,,,,,,,,,,,,
